,location,size,total_sqft,bath,price
0,1st Block Jayanagar,4,2850.0,4.0,428.0
1,1st Block Jayanagar,3,1630.0,3.0,194.0
2,1st Block Jayanagar,6,1200.0,6.0,125.0
3,1st Block Jayanagar,3,1875.0,2.0,235.0
4,1st Block Jayanagar,3,1200.0,2.0,130.0
5,1st Block Jayanagar,2,1235.0,2.0,148.0
6,1st Block Jayanagar,4,2750.0,4.0,413.0
7,1st Block Jayanagar,4,2450.0,4.0,368.0
9,1st Phase JP Nagar,3,1875.0,3.0,167.0
10,1st Phase JP Nagar,5,1500.0,5.0,85.0
11,1st Phase JP Nagar,3,2065.0,4.0,210.0
13,1st Phase JP Nagar,3,2059.0,3.0,225.0
14,1st Phase JP Nagar,2,1394.0,2.0,100.0
15,1st Phase JP Nagar,2,1077.0,2.0,93.0
16,1st Phase JP Nagar,2,1566.0,2.0,180.0
17,1st Phase JP Nagar,1,840.0,2.0,50.0
18,1st Phase JP Nagar,3,1590.0,3.0,131.0
19,1st Phase JP Nagar,3,2180.0,3.0,210.0
20,1st Phase JP Nagar,2,1180.0,2.0,88.5
21,1st Phase JP Nagar,2,1200.0,2.0,86.0
22,1st Phase JP Nagar,2,1394.0,2.0,85.0
23,1st Phase JP Nagar,3,2077.0,3.0,175.0
25,1st Phase JP Nagar,2,1205.0,2.0,85.0
27,1st Phase JP Nagar,2,900.0,2.0,75.0
28,2nd Phase Judicial Layout,3,1450.0,2.0,50.75
29,2nd Phase Judicial Layout,2,1150.0,2.0,40.25
30,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
31,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
32,2nd Phase Judicial Layout,2,900.0,2.0,41.0
33,2nd Phase Judicial Layout,3,1681.0,3.0,69.0
34,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
35,2nd Phase Judicial Layout,2,1150.0,2.0,40.25
36,2nd Stage Nagarbhavi,4,1500.0,4.0,220.0
39,2nd Stage Nagarbhavi,4,1200.0,4.0,245.0
40,2nd Stage Nagarbhavi,4,1350.0,4.0,200.0
41,2nd Stage Nagarbhavi,5,1200.0,4.0,240.0
42,2nd Stage Nagarbhavi,3,600.0,4.0,100.0
43,2nd Stage Nagarbhavi,4,1200.0,4.0,225.0
44,2nd Stage Nagarbhavi,5,1200.0,4.0,240.0
45,2nd Stage Nagarbhavi,5,1200.0,4.0,240.0
46,2nd Stage Nagarbhavi,5,1200.0,4.0,240.0
47,2nd Stage Nagarbhavi,5,1200.0,4.0,240.0
48,2nd Stage Nagarbhavi,4,1500.0,3.0,230.0
50,2nd Stage Nagarbhavi,5,1200.0,4.0,240.0
51,5th Block Hbr Layout,2,1206.0,2.0,56.0
52,5th Block Hbr Layout,3,1270.0,2.0,70.0
53,5th Block Hbr Layout,5,1200.0,6.0,220.0
54,5th Block Hbr Layout,4,1200.0,4.0,205.0
55,5th Block Hbr Layout,2,1312.0,2.0,69.0
56,5th Block Hbr Layout,5,1200.0,5.0,205.0
57,5th Block Hbr Layout,6,5100.0,5.0,300.0
58,5th Block Hbr Layout,5,1200.0,5.0,205.0
59,5th Phase JP Nagar,2,1075.0,2.0,60.0
60,5th Phase JP Nagar,2,1150.0,3.0,52.5
61,5th Phase JP Nagar,2,1256.0,2.0,62.8
62,5th Phase JP Nagar,2,1207.0,2.0,63.0
63,5th Phase JP Nagar,3,1725.0,2.0,100.0
64,5th Phase JP Nagar,2,1440.0,2.0,60.0
65,5th Phase JP Nagar,3,1400.0,2.0,88.0
66,5th Phase JP Nagar,2,1450.0,2.0,58.0
67,5th Phase JP Nagar,3,1700.0,2.0,100.0
69,5th Phase JP Nagar,5,2500.0,5.0,110.0
70,5th Phase JP Nagar,1,600.0,1.0,30.0
71,5th Phase JP Nagar,2,1390.0,2.0,65.0
72,5th Phase JP Nagar,2,1256.0,2.0,62.8
73,5th Phase JP Nagar,2,1000.0,2.0,48.0
74,5th Phase JP Nagar,3,1350.0,2.0,75.0
75,5th Phase JP Nagar,1,552.0,1.0,23.5
76,5th Phase JP Nagar,2,1200.0,2.0,51.0
80,5th Phase JP Nagar,2,1030.0,2.0,57.0
81,5th Phase JP Nagar,2,1200.0,2.0,68.0
82,5th Phase JP Nagar,2,1190.0,2.0,61.8
83,5th Phase JP Nagar,5,4000.0,5.0,170.0
84,5th Phase JP Nagar,2,1080.0,2.0,53.0
85,5th Phase JP Nagar,2,1041.0,2.0,54.0
86,5th Phase JP Nagar,2,812.0,2.0,42.0
87,5th Phase JP Nagar,2,1010.0,2.0,57.0
88,5th Phase JP Nagar,3,1450.0,2.0,73.0
89,5th Phase JP Nagar,7,2500.0,8.0,95.0
90,5th Phase JP Nagar,2,1075.0,2.0,60.0
91,6th Phase JP Nagar,2,1192.0,2.0,74.0
92,6th Phase JP Nagar,2,1180.0,2.0,80.0
93,6th Phase JP Nagar,4,3245.0,4.0,250.0
95,6th Phase JP Nagar,2,1140.0,2.0,65.0
96,6th Phase JP Nagar,8,1650.0,6.0,135.0
97,6th Phase JP Nagar,3,2040.0,3.0,200.0
98,6th Phase JP Nagar,2,1213.0,2.0,63.0
99,6th Phase JP Nagar,2,1170.0,2.0,120.0
100,6th Phase JP Nagar,2,1216.0,2.0,60.0
101,6th Phase JP Nagar,2,1460.0,2.0,80.0
102,6th Phase JP Nagar,3,2003.0,3.0,200.0
103,6th Phase JP Nagar,3,1810.0,3.0,131.0
104,6th Phase JP Nagar,3,1515.0,2.0,135.0
105,6th Phase JP Nagar,2,1192.0,2.0,75.0
106,6th Phase JP Nagar,2,1280.0,2.0,88.0
107,7th Phase JP Nagar,2,1080.0,2.0,72.0
108,7th Phase JP Nagar,2,1270.0,2.0,93.0
109,7th Phase JP Nagar,3,1420.0,2.0,100.0
110,7th Phase JP Nagar,3,1850.0,3.0,150.0
111,7th Phase JP Nagar,2,1245.0,2.0,94.0
112,7th Phase JP Nagar,2,1175.0,2.0,82.0
113,7th Phase JP Nagar,3,1400.0,2.0,95.0
114,7th Phase JP Nagar,3,2225.0,3.0,160.0
115,7th Phase JP Nagar,2,1050.0,2.0,71.0
116,7th Phase JP Nagar,2,1100.0,2.0,46.0
117,7th Phase JP Nagar,2,918.0,2.0,50.49
118,7th Phase JP Nagar,3,1450.0,2.0,100.0
119,7th Phase JP Nagar,2,1190.0,2.0,49.98
120,7th Phase JP Nagar,3,1420.0,2.0,96.0
121,7th Phase JP Nagar,3,1680.0,3.0,120.0
122,7th Phase JP Nagar,2,980.0,2.0,69.0
123,7th Phase JP Nagar,2,1180.0,2.0,72.0
127,7th Phase JP Nagar,3,1400.0,3.0,115.0
128,7th Phase JP Nagar,2,1270.0,2.0,83.0
130,7th Phase JP Nagar,4,2503.0,4.0,188.0
131,7th Phase JP Nagar,3,2200.0,3.0,190.0
134,7th Phase JP Nagar,3,1575.0,2.0,110.0
135,7th Phase JP Nagar,3,1850.0,3.0,140.0
136,7th Phase JP Nagar,3,1575.0,2.0,120.0
137,7th Phase JP Nagar,3,1850.0,3.0,150.0
138,7th Phase JP Nagar,3,1680.0,3.0,120.0
139,7th Phase JP Nagar,2,1175.0,2.0,82.5
142,7th Phase JP Nagar,2,1215.0,2.0,90.0
143,7th Phase JP Nagar,2,1050.0,2.0,75.0
144,7th Phase JP Nagar,3,1300.0,3.0,89.13
145,7th Phase JP Nagar,2,1130.0,2.0,73.0
146,7th Phase JP Nagar,3,1450.0,3.0,100.0
148,7th Phase JP Nagar,2,1050.0,2.0,50.0
149,7th Phase JP Nagar,2,1275.0,2.0,87.0
151,7th Phase JP Nagar,3,1650.0,3.0,110.0
152,7th Phase JP Nagar,2,850.0,2.0,42.0
153,7th Phase JP Nagar,3,1680.0,3.0,117.0
154,7th Phase JP Nagar,3,1850.0,3.0,150.0
155,7th Phase JP Nagar,2,1236.0,2.0,61.33
156,7th Phase JP Nagar,2,1000.0,2.0,53.0
157,7th Phase JP Nagar,3,1680.0,3.0,125.0
158,7th Phase JP Nagar,3,1675.0,2.0,135.0
159,7th Phase JP Nagar,2,1187.0,2.0,59.0
160,7th Phase JP Nagar,3,1850.0,3.0,155.0
161,7th Phase JP Nagar,2,1000.0,2.0,61.0
162,7th Phase JP Nagar,3,1460.0,2.0,100.0
163,7th Phase JP Nagar,3,1650.0,3.0,110.0
164,7th Phase JP Nagar,2,1200.0,2.0,62.5
165,7th Phase JP Nagar,2,1000.0,2.0,70.65
166,7th Phase JP Nagar,2,1080.0,2.0,75.0
168,7th Phase JP Nagar,3,1680.0,3.0,125.0
169,7th Phase JP Nagar,3,1460.0,2.0,97.0
170,7th Phase JP Nagar,2,1120.0,2.0,65.0
171,7th Phase JP Nagar,2,1100.0,3.0,60.0
172,7th Phase JP Nagar,3,1790.0,3.0,120.0
173,7th Phase JP Nagar,3,1680.0,3.0,117.0
174,7th Phase JP Nagar,2,1050.0,2.0,77.0
175,7th Phase JP Nagar,2,1050.0,2.0,75.0
176,7th Phase JP Nagar,2,1040.0,2.0,75.0
177,7th Phase JP Nagar,3,1400.0,2.0,95.0
